1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
STAT3_pY705	0.13 	0.00 	0.15 	-0.40 	0.13 	0.05 	0.15 	0.03 	0.03 	0.18 	0.20 	0.15 	0.26 	-0.50 	0.04 	0.01 	0.13 	0.06 	-0.14 	-0.49 	-0.20 	0.13 	0.15 	0.02 	-0.47 	0.03 	-0.03 	-0.47 	-0.45 	-0.64 	-0.22 	-0.25 	-0.45 	-0.22 	-0.07 	-0.17 	-0.12 	-0.21 	-0.07 	0.07 	-0.36 	-0.07 	-0.10 	-0.11 
TSC2_pT1462	-0.28 	-0.27 	-0.34 	0.15 	-0.38 	-0.09 	-0.40 	0.12 	-0.41 	-0.65 	-0.52 	-0.60 	-0.60 	-0.44 	-0.67 	-0.50 	-0.61 	0.06 	-0.17 	0.21 	0.21 	0.05 	-0.31 	-0.20 	0.03 	-0.34 	0.00 	0.21 	0.41 	0.53 	-0.32 	-0.22 	-0.03 	-0.03 	-0.23 	0.20 	0.38 	-0.45 	-0.48 	-0.34 	-0.21 	-0.48 	-0.18 	-0.21 
p27_mouse	0.32 	0.44 	0.71 	0.10 	0.34 	0.36 	0.59 	0.59 	0.06 	0.02 	0.44 	0.20 	0.26 	-0.02 	0.01 	-0.09 	0.11 	0.57 	0.12 	0.06 	-0.04 	0.36 	0.32 	0.26 	0.14 	0.18 	0.15 	-0.09 	-0.10 	-0.14 	0.00 	0.07 	-0.04 	-0.03 	-0.12 	-0.05 	-0.08 	0.08 	0.09 	0.41 	0.05 	0.03 	0.15 	0.10 
c-Myc	-0.11 	-0.31 	-0.41 	-0.38 	-0.12 	0.09 	-0.13 	-0.54 	-0.19 	-0.04 	-0.27 	-0.30 	-0.20 	-0.18 	-0.02 	0.12 	0.07 	-0.45 	-0.13 	-0.32 	-0.03 	-0.38 	-0.08 	-0.29 	-0.44 	-0.04 	0.04 	-0.22 	-0.13 	-0.45 	0.07 	0.04 	-0.18 	0.20 	0.29 	0.03 	0.08 	0.24 	0.04 	-0.03 	-0.02 	0.25 	0.10 	0.16 
PLK1	-0.02 	-0.01 	-0.30 	0.05 	0.02 	-0.34 	-0.51 	-0.31 	-0.45 	-0.05 	-0.39 	-0.08 	-0.19 	-0.45 	-0.14 	-0.54 	-0.79 	0.05 	0.07 	-0.15 	-0.21 	-0.17 	0.05 	0.09 	-0.09 	0.04 	-0.46 	-0.05 	-0.24 	-0.10 	0.07 	0.02 	-0.02 	-0.43 	0.05 	-0.42 	-0.46 	-0.15 	-0.13 	-0.45 	-0.31 	-0.23 	-0.89 	-0.52 
S6_pS240_V	-0.48 	-0.32 	-0.83 	-1.25 	-0.44 	-4.13 	-1.76 	-0.76 	-1.26 	-0.95 	-1.87 	-0.99 	-1.24 	-3.05 	-0.88 	-3.76 	-2.45 	0.06 	0.04 	-1.24 	-2.33 	-0.25 	0.08 	-0.13 	-1.16 	-0.20 	-2.91 	-0.95 	-2.90 	-1.10 	0.05 	-0.06 	-0.77 	-2.64 	-0.23 	-2.25 	-4.32 	-0.57 	-0.85 	-1.00 	-2.67 	-0.77 	-4.83 	-1.18 
cellprol	0.24 	0.43 	0.28 	-0.58 	-0.13 	-0.89 	-0.29 	0.24 	-1.10 	-0.26 	0.04 	-0.23 	-0.29 	-2.25 	-1.48 	-1.44 	-1.36 	-0.20 	0.10 	-0.67 	-1.14 	0.25 	0.13 	0.22 	-0.73 	-0.27 	-1.04 	-0.73 	-1.36 	-3.76 	-0.62 	-0.36 	-2.16 	-1.91 	-2.70 	-1.28 	-1.35 	-0.81 	-0.36 	-0.44 	-1.68 	-1.82 	-2.41 	-1.40 
aMEK12	-0.70 	-0.70 	-0.70 	-0.70 	-0.70 	-0.70 	-0.70 	-0.80 	0.00 	0.00 	-0.70 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
aAKT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.99 	-0.99 	-0.99 	-0.99 	-0.99 	-0.99 	-0.99 	-0.99 	-0.99 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
aHDAC	0.00 	-0.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.11 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.51 	-0.11 	-0.11 	-0.11 	0.00 	0.00 	-0.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.11 	0.00 	0.00 	0.00 	0.00 	0.00 
aBRAFm	0.00 	0.00 	-0.55 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.55 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.57 	-0.55 	-0.55 	-0.55 	-0.55 	-0.55 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.55 	0.00 	0.00 	0.00 	0.00 
aPKC	0.00 	0.00 	0.00 	-0.74 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.74 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.74 	0.00 	0.00 	0.00 	0.00 	-0.74 	0.00 	0.00 	-0.74 	-0.74 	-0.80 	0.00 	0.00 	-0.74 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.74 	0.00 	0.00 	0.00 
aSTAT3	0.00 	0.00 	0.00 	0.00 	-0.23 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.23 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.23 	0.00 	0.00 	0.00 	0.00 	-0.23 	-0.23 	-0.23 	-0.23 	-0.06 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.23 	0.00 	0.00 
amTOR	0.00 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 	-0.98 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 	-0.98 	-1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.98 	0.00 
aPI3K	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.97 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.97 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.97 	-0.97 	-0.97 	-0.97 	-0.97 	-0.97 	-0.98 
